gene_callers_id	blastp_acc	blastp_ann	blastp_species	blastp_taxa
464381	WP_066102746.1	"MULTISPECIES: elongation factor Tu [Roseobacteraceae]"	"Roseobacteraceae"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodobacterales"
13571604	WP_065061697.1	"MULTISPECIES: rubrerythrin family protein [Paraburkholderia]"	"Paraburkholderia"	"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae"
726550	WP_011133111.1	"MULTISPECIES: DNA-directed RNA polymerase subunit beta' [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
5150236	WP_259780408.1	"DNA-directed RNA polymerase subunit beta' [Aestuariispira ectoiniformans]"	"Aestuariispira ectoiniformans"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Kiloniellaceae","Aestuariispira"
464431	WP_421724931.1	"ABC transporter substrate-binding protein [Bauldia sp.]"	"Bauldia sp."	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Kaistiaceae","Bauldia"
16356922	WP_114872061.1	"DNA-directed RNA polymerase subunit alpha [Sulfitobacter sp. JL08]"	"Sulfitobacter sp. JL08"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Sulfitobacter"
10786365	WP_420410224.1	"ABC transporter substrate-binding protein [Hoeflea sp.]"	"Hoeflea sp."	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Hoeflea"
7607871	WP_237991676.1	"TonB-dependent hemoglobin/transferrin/lactoferrin family receptor [Nostoc sp. UHCC 0870]"	"Nostoc sp. UHCC 0870"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Nostocales","Nostocaceae","Nostoc"
6526528	WP_013695888.1	"type I glutamate--ammonia ligase [Candidatus Pelagibacter sp. IMCC9063]"	"Candidatus Pelagibacter sp. IMCC9063"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
7509572	WP_415303993.1	"porin [Candidatus Pelagibacter sp. Uisw_090]"	"Candidatus Pelagibacter sp. Uisw_090"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
13178439	WP_036930312.1	"MULTISPECIES: urea ABC transporter substrate-binding protein [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
10196554	WP_415303993.1	"porin [Candidatus Pelagibacter sp. Uisw_090]"	"Candidatus Pelagibacter sp. Uisw_090"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
5117519	WP_145596824.1	"adenosylhomocysteinase [Candidatus Pelagibacter sp. FZCC0015]"	"Candidatus Pelagibacter sp. FZCC0015"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
10327633	WP_415308828.1	"ABC transporter substrate-binding protein [Candidatus Pelagibacter sp. Uisw_099_02]"	"Candidatus Pelagibacter sp. Uisw_099_02"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
10819153	WP_044050824.1	"DNA-directed RNA polymerase subunit beta [Planktomarina temperata]"	"Planktomarina temperata"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Planktomarina"
10917464	WP_171092765.1	"porin [Usitatibacter rugosus]"	"Usitatibacter rugosus"	"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Nitrosomonadales","Usitatibacteraceae","Usitatibacter"
15242841	WP_280099521.1	"molecular chaperone DnaK [Amylibacter sp. IMCC11727]"	"Amylibacter sp. IMCC11727"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Amylibacter"
10557017	WP_085758544.1	"TonB-dependent receptor [Oceanicoccus sagamiensis]"	"Oceanicoccus sagamiensis"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","Oceanicoccus"
12686946	WP_413327336.1	"urea ABC transporter substrate-binding protein [Synechococcus sp. MIT S9503]"	"Synechococcus sp. MIT S9503"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Synechococcaceae","Synechococcus"
1906284	WP_068287987.1	"MULTISPECIES: P-II family nitrogen regulator [Seohaeicola]"	"Seohaeicola"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae"
7116407	WP_041426329.1	"MULTISPECIES: bleomycin hydrolase [unclassified Synechococcus]"	"unclassified Synechococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Synechococcaceae","Synechococcus"
14489208	WP_023853992.1	"MULTISPECIES: HU family DNA-binding protein [Candidatus Pelagibacter]"	"Candidatus Pelagibacter"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae"
12097149	WP_069045214.1	"PQQ-dependent sugar dehydrogenase [Hydrogenophaga sp. RAC07]"	"Hydrogenophaga sp. RAC07"	"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
10720894	WP_152660911.1	"polyribonucleotide nucleotidyltransferase [Halioglobus maricola]"	"Halioglobus maricola"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Halieaceae","Halioglobus"
14784127	WP_415290565.1	"porin [Candidatus Pelagibacter sp. Uisw_136]"	"Candidatus Pelagibacter sp. Uisw_136"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
15701632	WP_032526561.1	"RNA-binding protein [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
8525440	WP_145596043.1	"amino acid ABC transporter substrate-binding protein [Candidatus Pelagibacter sp. FZCC0015]"	"Candidatus Pelagibacter sp. FZCC0015"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
8951436	WP_067095469.1	"MULTISPECIES: bleomycin hydrolase [unclassified Synechococcus]"	"unclassified Synechococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Synechococcaceae","Synechococcus"
13047441	WP_412732275.1	"peptidoglycan-binding protein [Minisyncoccus archaeiphilus]"	"Minisyncoccus archaeiphilus"	"Bacteria","Candidatus Paceibacterota","Minisyncoccia","Minisyncoccales","Minisyncoccaceae","Minisyncoccus"
661138	WP_415285103.1	"TRAP transporter substrate-binding protein DctP [Candidatus Pelagibacter sp. Uisw_130]"	"Candidatus Pelagibacter sp. Uisw_130"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
15570577	WP_158462211.1	"CsoS2 family carboxysome shell protein [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
16586389	WP_209358157.1	"MULTISPECIES: TRAP transporter substrate-binding protein DctP [Cognatishimia]"	"Cognatishimia"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae"
16455318	WP_032525840.1	"photosystem I assembly protein Ycf3 [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
9279140	YP_010678885.1	"major head protein [Pseudomonas phage vB_PaeM_PA5oct]"	"Pseudomonas phage vB_PaeM_PA5oct"	"Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Arenbergviridae","Wroclawvirus","Wroclawvirus PA5oct"
11474605	WP_412778196.1	"sugar ABC transporter substrate-binding protein [Thalassospira lucentensis]"	"Thalassospira lucentensis"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Thalassospiraceae","Thalassospira"
3315374	WP_406680309.1	"TonB-dependent receptor domain-containing protein [Hyphomonas sp. FCG-A18]"	"Hyphomonas sp. FCG-A18"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomonadales","Hyphomonadaceae","Hyphomonas"
5772983	WP_394688529.1	"ABC transporter substrate-binding protein [Hoeflea sp.]"	"Hoeflea sp."	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Hoeflea"
497341	WP_186990911.1	"MULTISPECIES: ferritin [unclassified Synechococcus]"	"unclassified Synechococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Synechococcaceae","Synechococcus"
12818110	WP_072090949.1	"MULTISPECIES: FtsH protease activity modulator HflK [Candidatus Pelagibacter]"	"Candidatus Pelagibacter"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae"
6395583	WP_415320732.1	"succinate--CoA ligase subunit alpha [Candidatus Pelagibacter sp. Uisw_092]"	"Candidatus Pelagibacter sp. Uisw_092"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
7870146	WP_415290565.1	"porin [Candidatus Pelagibacter sp. Uisw_136]"	"Candidatus Pelagibacter sp. Uisw_136"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
13178565	WP_075082155.1	"flagellin [Mariniblastus fucicola]"	"Mariniblastus fucicola"	"Bacteria","Pseudomonadati","Planctomycetota","Planctomycetia","Pirellulales","Pirellulaceae","Mariniblastus"
10426053	WP_415323340.1	"sodium:solute symporter family protein [Candidatus Pelagibacter sp. Uisw_127]"	"Candidatus Pelagibacter sp. Uisw_127"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
15668935	WP_415304307.1	"ABC transporter substrate-binding protein [Candidatus Pelagibacter sp. Uisw_090]"	"Candidatus Pelagibacter sp. Uisw_090"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
5740234	WP_132938540.1	"co-chaperone GroES [Varunaivibrio sulfuroxidans]"	"Varunaivibrio sulfuroxidans"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Magnetovibrionaceae","Varunaivibrio"
1414858	WP_420405197.1	"TRAP transporter substrate-binding protein [Nisaea sp.]"	"Nisaea sp."	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Thalassobaculaceae","Nisaea"
12097237	WP_257766444.1	"transcription termination factor Rho [Nisaea acidiphila]"	"Nisaea acidiphila"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Thalassobaculaceae","Nisaea"
13407958	WP_390618078.1	"acetyl-CoA C-acetyltransferase [Maricurvus nonylphenolicus]"	"Maricurvus nonylphenolicus"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Maricurvus"
10688213	WP_169602999.1	"proteasome-type protease [Methylococcus geothermalis]"	"Methylococcus geothermalis"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylococcus"
12195545	WP_395344498.1	"TonB-dependent siderophore receptor [Ningiella sp. W23]"	"Ningiella sp. W23"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Ningiella"7804639
10131168	WP_400166317.1	"TonB-dependent receptor [Fidelibacter multiformis]"	"Fidelibacter multiformis"	"Bacteria","Pseudomonadati","Fidelibacterota","Fidelibacteria","Fidelibacterales","Fidelibacteraceae","Fidelibacter"
9082595	WP_422366534.1	"branched-chain amino acid ABC transporter substrate-binding protein [Pelagibius sp.]"	"Pelagibius sp."	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Rhodovibrionaceae","Pelagibius"
1578724	WP_415276264.1	"preprotein translocase subunit YajC [Candidatus Pelagibacter sp. Uisw_116]"	"Candidatus Pelagibacter sp. Uisw_116"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
1939187	WP_252158094.1	"hypothetical protein [Candidatus Arcticimaribacter forsetii]"	"Candidatus Arcticimaribacter forsetii"	"Bacteria","Pseudomonadati","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Candidatus Arcticimaribacter"
15046390	WP_280317779.1	"TonB-dependent receptor [Microbulbifer bruguierae]"	"Microbulbifer bruguierae"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae","Microbulbifer"
9180927	WP_416897380.1	"transporter substrate-binding domain-containing protein [Minwuia sp.]"	"Minwuia sp."	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Minwuiales","Minwuiaceae","Minwuia"
4593409	WP_044050823.1	"MULTISPECIES: DNA-directed RNA polymerase subunit beta' [Planktomarina]"	"Planktomarina"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae"
13571847	WP_134830882.1	"MULTISPECIES: aldehyde dehydrogenase [unclassified Leisingera]"	"unclassified Leisingera"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Leisingera"
15243019	WP_198570316.1	"DUF4856 domain-containing protein [Spongiibacter nanhainus]"	"Spongiibacter nanhainus"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","Spongiibacter"
14817037	WP_257768997.1	"xanthine dehydrogenase family protein molybdopterin-binding subunit [Nisaea acidiphila]"	"Nisaea acidiphila"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Thalassobaculaceae","Nisaea"
10229518	WP_280317779.1	"TonB-dependent receptor [Microbulbifer bruguierae]"	"Microbulbifer bruguierae"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae","Microbulbifer"
14456597	WP_345417928.1	"chaperonin GroEL [Halioxenophilus aromaticivorans]"	"Halioxenophilus aromaticivorans"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Halioxenophilus"
10196769	WP_025881525.1	"MULTISPECIES: peroxiredoxin [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
13211430	WP_252158500.1	"HU family DNA-binding protein [Candidatus Arcticimaribacter forsetii]"	"Candidatus Arcticimaribacter forsetii"	"Bacteria","Pseudomonadati","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Candidatus Arcticimaribacter"
8263467	WP_055011929.1	"MULTISPECIES: TonB-dependent receptor plug domain-containing protein [unclassified Pseudoalteromonas]"	"unclassified Pseudoalteromonas"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas"
15013677	WP_011951577.1	"TonB-dependent receptor [Rhizorhabdus wittichii]"	"Rhizorhabdus wittichii"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Rhizorhabdus"
4495151	WP_284684342.1	"SusC/RagA family TonB-linked outer membrane protein [Chondrinema litorale]"	"Chondrinema litorale"	"Bacteria","Pseudomonadati","Bacteroidota","Cytophagia","Cytophagales","Flammeovirgaceae","Chondrinema"
2955060	WP_176030171.1	"SusC/RagA family TonB-linked outer membrane protein [Aquimarina sp. TRL1]"	"Aquimarina sp. TRL1"	"Bacteria","Pseudomonadati","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aquimarina"
1218360	WP_320682360.1	"30S ribosomal protein S16 [Prochlorococcus sp. MIT 1314]"	"Prochlorococcus sp. MIT 1314"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
11212602	WP_013046767.1	"chaperonin GroEL [Candidatus Puniceispirillum marinum]"	"Candidatus Puniceispirillum marinum"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Puniceispirillales","Candidatus Puniceispirillaceae","Candidatus Puniceispirillum"
5117763	WP_011819555.1	"50S ribosomal protein L1 [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
5117764	WP_011131843.1	"MULTISPECIES: 50S ribosomal protein L11 [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
6494021	WP_153240134.1	"excinuclease ABC subunit UvrA [Halioglobus maricola]"	"Halioglobus maricola"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Halieaceae","Halioglobus"
4003654	WP_099621172.1	"TonB-dependent receptor [Caulobacter mirabilis]"	"Caulobacter mirabilis"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
10131270	WP_251086902.1	"DUF4856 domain-containing protein [Spongiibacter taiwanensis]"	"Spongiibacter taiwanensis"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","Spongiibacter"
595786	WP_390619191.1	"chaperonin GroEL [Maricurvus nonylphenolicus]"	"Maricurvus nonylphenolicus"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Maricurvus"
7640908	WP_067151046.1	"50S ribosomal protein L6 [Microbulbifer thermotolerans]"	"Microbulbifer thermotolerans"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae","Microbulbifer"
15865681	WP_011818927.1	"cell division protein FtsZ [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
5478226	WP_415324000.1	"magnesium transporter [Candidatus Pelagibacter sp. Uisw_127]"	"Candidatus Pelagibacter sp. Uisw_127"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
14653269	WP_032522615.1	"FAD-binding oxidoreductase [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
1316693	WP_415300552.1	"ABC transporter ATP-binding protein [Candidatus Pelagibacter sp. Uisw_134_02]"	"Candidatus Pelagibacter sp. Uisw_134_02"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
6264665	WP_069676383.1	"SusC/RagA family TonB-linked outer membrane protein [Formosa sp. Hel1_33_131]"	"Formosa sp. Hel1_33_131"	"Bacteria","Pseudomonadati","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Formosa"
8689501	WP_070376517.1	"TonB-dependent receptor domain-containing protein [Colwellia sp. PAMC 20917]"	"Colwellia sp. PAMC 20917"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia"
3217249	WP_011376317.1	"MULTISPECIES: translation elongation factor Ts [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
2266988	WP_268880925.1	"ABC transporter substrate-binding protein [Jiella pelagia]"	"Jiella pelagia"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Aurantimonadaceae","Jiella"
497519	WP_009575994.1	"DUF3450 domain-containing protein [Aequoribacter fuscus]"	"Aequoribacter fuscus"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Halieaceae","Aequoribacter"
1021825	WP_011862436.1	"MULTISPECIES: SDR family NAD(P)-dependent oxidoreductase [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
3970955	WP_032524886.1	"dihydrolipoyl dehydrogenase [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
8820628	WP_143579717.1	"TonB-dependent receptor [Thalassotalea sp. PS06]"	"Thalassotalea sp. PS06"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Thalassotalea"
4954006	WP_044050972.1	"porin [Planktomarina temperata]"	"Planktomarina temperata"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Planktomarina"
8132504	WP_420403453.1	"chaperonin GroEL [Nisaea sp.]"	"Nisaea sp."	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Thalassobaculaceae","Nisaea"
16062375	YP_010678885.1	"major head protein [Pseudomonas phage vB_PaeM_PA5oct]"	"Pseudomonas phage vB_PaeM_PA5oct"	"Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Arenbergviridae","Wroclawvirus","Wroclawvirus PA5oct"
4888495	WP_416560857.1	"flagellin [Limnohabitans sp. YIMB22184]"	"Limnohabitans sp. YIMB22184"	"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
11835312	WP_057793213.1	"MULTISPECIES: TonB-dependent receptor domain-containing protein [Alteromonas]"	"Alteromonas"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas/Salinimonas group"
11573172	WP_106472780.1	"chaperonin GroEL [Pukyongiella litopenaei]"	"Pukyongiella litopenaei"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Pukyongiella"
6166453	WP_006851343.1	"ATP-dependent zinc metalloprotease FtsH [Synechococcus sp. WH 8109]"	"Synechococcus sp. WH 8109"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Synechococcaceae","Synechococcus"
12818361	WP_013445843.1	"SusC/RagA family TonB-linked outer membrane protein [Paludibacter propionicigenes]"	"Paludibacter propionicigenes"	"Bacteria","Pseudomonadati","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","Paludibacter"
11474874	WP_246782844.1	"ATP-dependent zinc metalloprotease FtsH [Stella humosa]"	"Stella humosa"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Stellaceae","Stella"
3151804	WP_145597990.1	"citramalate synthase [Candidatus Pelagibacter sp. FZCC0015]"	"Candidatus Pelagibacter sp. FZCC0015"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
2430912	WP_400166285.1	"elongation factor Tu [Fidelibacter multiformis]"	"Fidelibacter multiformis"	"Bacteria","Pseudomonadati","Fidelibacterota","Fidelibacteria","Fidelibacterales","Fidelibacteraceae","Fidelibacter"
13998017	WP_032525163.1	"trigger factor [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
13899712	YP_010678885.1	"major head protein [Pseudomonas phage vB_PaeM_PA5oct]"	"Pseudomonas phage vB_PaeM_PA5oct"	"Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Arenbergviridae","Wroclawvirus","Wroclawvirus PA5oct"
11376583	WP_032518358.1	"MULTISPECIES: iron uptake porin [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
11704270	WP_415291188.1	"substrate-binding domain-containing protein [Candidatus Pelagibacter sp. Uisw_136]"	"Candidatus Pelagibacter sp. Uisw_136"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
4364246	WP_009576343.1	"adenosylhomocysteinase [Aequoribacter fuscus]"	"Aequoribacter fuscus"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Halieaceae","Aequoribacter"
333784	WP_067154406.1	"chaperonin GroEL [Microbulbifer thermotolerans]"	"Microbulbifer thermotolerans"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae","Microbulbifer"
7509978	WP_252157922.1	"SusC/RagA family TonB-linked outer membrane protein [Candidatus Arcticimaribacter forsetii]"	"Candidatus Arcticimaribacter forsetii"	"Bacteria","Pseudomonadati","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Candidatus Arcticimaribacter"
38877	WP_145596713.1	"TRAP transporter substrate-binding protein [Candidatus Pelagibacter sp. FZCC0015]"	"Candidatus Pelagibacter sp. FZCC0015"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
1644519	WP_350334360.1	"DUF4856 domain-containing protein [Coralliovum pocilloporae]"	"Coralliovum pocilloporae"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Coralliovaceae","Coralliovum"
1873902	WP_013046525.1	"porin [Candidatus Puniceispirillum marinum]"	"Candidatus Puniceispirillum marinum"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Puniceispirillales","Candidatus Puniceispirillaceae","Candidatus Puniceispirillum"
